ID	HLT_pres	HLT_abs	NORA_pres	NORA_abs	effect_size	pvalue
gene_id_9169	13	3	18	0	-0.58064516129	0.0935828877005
gene_id_3149	9	7	14	4	-0.245059288538	0.274304783092
gene_id_26436	2	14	4	14	-0.166666666667	0.660228536758
gene_id_3144	4	12	9	9	-0.263736263736	0.171727039706
gene_id_16475	5	11	16	2	-0.608058608059	0.00108538106313
gene_id_6314	12	4	11	7	0.158102766798	0.476751946607
gene_id_6315	13	3	9	9	0.340909090909	0.079595686028
gene_id_9165	8	8	13	5	-0.234432234432	0.290554722639
gene_id_9166	3	13	2	16	0.151724137931	0.648093841642
gene_id_6647	12	4	15	3	-0.126984126984	0.681464253211
gene_id_9206	0	16	5	13	-0.551724137931	0.0464895635674
gene_id_18932	12	4	12	6	0.1	0.714591970877
gene_id_41736	3	13	6	12	-0.186666666667	0.447871372232
gene_id_13215	2	14	4	14	-0.166666666667	0.660228536758
gene_id_5443	3	13	1	17	0.316666666667	0.322580645161
gene_id_11822	1	15	0	18	0.545454545455	0.470588235294
gene_id_28088	2	14	3	15	-0.0827586206897	1.0
gene_id_5442	1	15	2	16	-0.150537634409	1.0
gene_id_35225	2	14	2	16	0.0333333333333	1.0
gene_id_38549	5	11	10	8	-0.245614035088	0.18539117538
gene_id_4172	3	13	10	8	-0.388278388278	0.0386484177266
gene_id_74500	4	12	8	10	-0.212121212121	0.296648449969
gene_id_21673	4	12	2	16	0.238095238095	0.387197896653
gene_id_86234	5	11	3	15	0.201923076923	0.428995179829
gene_id_21676	1	15	2	16	-0.150537634409	1.0
gene_id_21675	12	4	10	8	0.212121212121	0.296648449969
gene_id_34727	1	15	0	18	0.545454545455	0.470588235294
gene_id_37588	0	16	1	17	-0.484848484848	1.0
gene_id_30809	2	14	5	13	-0.232804232804	0.405399939327
gene_id_31409	3	13	14	4	-0.588235294118	0.00155466332276
gene_id_63128	14	2	17	1	-0.215053763441	0.590909090909
gene_id_63658	14	2	17	1	-0.215053763441	0.590909090909
gene_id_30802	6	10	14	4	-0.414285714286	0.0348761103319
gene_id_30803	8	8	14	4	-0.30303030303	0.151414615273
gene_id_30801	7	9	11	7	-0.173611111111	0.492106238901
gene_id_66441	3	13	7	11	-0.241666666667	0.270057639802
gene_id_63652	2	14	5	13	-0.232804232804	0.405399939327
gene_id_63651	13	3	14	4	0.0529100529101	1.0
gene_id_63650	15	1	17	1	-0.03125	1.0
gene_id_78543	7	9	15	3	-0.431818181818	0.0299430929696
gene_id_69719	13	3	17	1	-0.316666666667	0.322580645161
gene_id_24086	6	10	2	16	0.365384615385	0.10998752823
gene_id_92048	10	6	8	10	0.180555555556	0.326918883512
gene_id_69249	16	0	16	2	0.5	0.486631016043
gene_id_69245	3	13	6	12	-0.186666666667	0.447871372232
gene_id_69243	0	16	0	18	NA	1.0
gene_id_69240	4	12	10	8	-0.314285714286	0.0920894391514
gene_id_37446	6	10	15	3	-0.483516483516	0.0122422659638
gene_id_33139	14	2	15	3	0.0827586206897	1.0
gene_id_72339	0	16	4	14	-0.533333333333	0.10522684147
gene_id_16238	14	2	18	0	-0.5625	0.213903743316
gene_id_72214	5	11	1	17	0.440476190476	0.0782182222672
gene_id_33131	15	1	17	1	-0.03125	1.0
gene_id_16236	7	9	10	8	-0.117647058824	0.731857331097
gene_id_33137	12	4	12	6	0.1	0.714591970877
gene_id_16230	5	11	7	11	-0.0833333333333	0.728896841902
gene_id_33135	6	10	7	11	-0.014652014652	1.0
gene_id_33134	7	9	6	12	0.10989010989	0.725376021667
gene_id_45609	1	15	4	14	-0.31724137931	0.340175953079
gene_id_65385	9	7	13	5	-0.174242424242	0.475397784978
gene_id_65382	2	14	2	16	0.0333333333333	1.0
gene_id_65380	7	9	15	3	-0.431818181818	0.0299430929696
gene_id_52200	15	1	14	4	0.31724137931	0.340175953079
gene_id_29001	7	9	8	10	-0.00701754385965	1.0
gene_id_83403	1	15	10	8	-0.561264822134	0.00307749351131
gene_id_27530	9	7	12	6	-0.10989010989	0.725376021667
gene_id_27531	6	10	10	8	-0.180555555556	0.326918883512
gene_id_39942	0	16	7	11	-0.592592592593	0.00804220970419
gene_id_27534	5	11	4	14	0.115555555556	0.702699969663
gene_id_27535	5	11	6	12	-0.0237154150198	1.0
gene_id_27538	7	9	13	5	-0.292857142857	0.162505843852
gene_id_27539	7	9	13	5	-0.292857142857	0.162505843852
gene_id_89752	6	10	7	11	-0.014652014652	1.0
gene_id_17727	7	9	12	6	-0.231578947368	0.299817833019
gene_id_48886	6	10	6	12	0.0454545454545	1.0
gene_id_86323	8	8	11	7	-0.112280701754	0.73028002128
gene_id_30070	7	9	11	7	-0.173611111111	0.492106238901
gene_id_29486	2	14	0	18	0.5625	0.213903743316
gene_id_86324	5	11	8	10	-0.139194139194	0.496522706389
gene_id_86325	1	15	4	14	-0.31724137931	0.340175953079
gene_id_25552	13	3	12	6	0.186666666667	0.447871372232
gene_id_25550	10	6	5	13	0.350877192982	0.082407183505
gene_id_25551	15	1	14	4	0.31724137931	0.340175953079
gene_id_69134	0	16	1	17	-0.484848484848	1.0
gene_id_20074	16	0	18	0	NA	1.0
gene_id_25555	1	15	1	17	0.03125	1.0
gene_id_2819	10	6	14	4	-0.183333333333	0.456931944585
gene_id_2818	14	2	17	1	-0.215053763441	0.590909090909
gene_id_21248	2	14	1	17	0.215053763441	0.590909090909
gene_id_81802	16	0	18	0	NA	1.0
gene_id_21243	9	7	9	9	0.0625	0.744475809633
gene_id_5665	10	6	7	11	0.235294117647	0.302829060852
