ID	Sample_004B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_009B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_012B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_020B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_026B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_027B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_028B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_035B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_061B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_068B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_069B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_072B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_078B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_087B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_093B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_100B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_103B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_108B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_109B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_126B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_128B_FE-hit-keg-mpm-cop-wbl-nve-nve	Sample_142B_FE-hit-keg-mpm-cop-wbl-nve-nve
M00276	0.00221743485793	0.00222548385514	0.00142894381766	0.000881437805347	0.00186227859461	0.0068949669365	0.0018584197041	0.00141595131877	0.000280761440651	0.0018801117255	0.00130174385015	0.00208339902538	0.00174135376394	0.00244071213344	0.000419302823868	0.000673956481855	0.00190795229513	0.00153720530093	0.00241649272752	0.00126691644207	0.000877355598082	0.00263997309774
M00277	0.000290029080122	0.00113251435173	0.000602352821325	0.000478701015929	0.000682077784447	0.00432243263307	0.00120529878731	0.000968535538793	0.000187021039508	0.000726551785489	0.000582077724306	0.00050875980847	0.000476425553645	0.00163761950293	7.77885405743e-05	0.000184138091087	0.000751191322684	0.000318724193792	0.000372066701423	9.93604702929e-05	0.000396708149944	0.000227307992685
M00270	0.000948129484135	0.00290754145469	0.00127755176795	0.000980582053628	0.000857818042892	0.00440919191947	0.0013802081393	0.00104789887784	0.000272829092161	0.000422359662478	0.001186974186	0.00145013919186	0.00102648141107	0.00154524153362	0.000290294431529	0.00091670395562	0.00178958946608	0.00132998428349	0.0017109295303	0.000502652236482	0.00104977081127	0.00171497813455
M00378	2.89218829257e-08	1.7217460794e-05	1.59083163237e-07	2.1096691647e-05	1.24274774991e-05	2.10785265611e-260	1.53215916565e-06	8.67312872538e-06	1.08046469298e-05	0.0	2.50872305942e-08	9.92388072695e-13	4.04949210065e-12	2.59616445731e-10	8.02266860456e-08	2.5535881084e-06	8.88696659999e-06	3.28460438073e-12	8.2009216916e-08	1.58627434294e-09	5.04695246972e-41	0.0
M00377	4.28552190005e-07	3.4810119956e-06	4.67043213559e-06	0.000369857624693	0.000211118965247	6.1450518706e-259	1.11293214153e-05	0.000135243224523	3.46446209827e-05	0.000272421021456	8.12399799754e-07	9.79573165554e-12	1.11469617466e-10	2.54296345683e-08	2.231452132e-06	9.81791365061e-05	0.000166766384773	1.13435147193e-10	2.13795703387e-06	8.34056051791e-07	1.74879328216e-18	1.96588260857e-14
M00376	6.78656503029e-14	3.40499238033e-09	9.49992484058e-16	9.20739354336e-05	2.33047167656e-05	0.0	1.11248124841e-07	1.69136592083e-05	2.16613597661e-06	9.20067165448e-05	7.32681065236e-19	5.9557232975e-13	3.17572353872e-38	2.13975628569e-09	5.79569588939e-16	1.18775015328e-12	8.19662627132e-14	3.96623808982e-15	1.69314962045e-27	4.82244470283e-16	7.87247588061e-71	2.1251486463e-45
M00375	4.82456310059e-08	1.1082811e-07	8.64603728617e-09	1.90541994107e-09	8.36696635838e-10	9.33550379045e-260	0.0	1.22064480661e-07	1.82228976732e-06	0.000108113443436	2.06005310072e-13	1.09733542925e-12	0.0	0.0	4.47434214247e-11	3.5034844861e-11	4.64269258237e-14	8.06524523018e-15	4.07870555752e-17	1.01514959276e-08	2.81699622806e-19	0.0
M00374	1.37081574609e-07	2.05863675803e-07	1.61776307674e-08	2.44787949923e-09	1.22037422565e-09	3.2231734007e-259	0.000204643021999	1.91619258269e-07	5.43702535599e-05	0.00021548794954	3.50183117557e-13	5.01309404812e-12	5.89578628915e-11	4.25281094908e-06	7.38080444545e-07	2.40361139672e-07	5.84491951038e-14	5.73659519449e-11	1.69746049299e-08	1.80667510764e-08	9.23501968206e-19	1.01161854389e-14
M00373	3.28514523962e-11	8.34147149748e-11	1.00657082249e-13	1.09347339073e-05	2.75852108359e-05	0.0	1.02105637631e-06	3.01343606227e-10	2.01001843344e-05	9.73764886872e-05	2.54737352046e-10	6.84289333564e-38	9.16660643515e-22	1.94737153786e-17	1.83336231752e-12	4.16356228642e-15	4.95581044466e-13	3.08994360538e-34	8.66498996508e-22	1.32162758924e-19	1.06888680236e-54	6.60957520104e-41
M00372	0.0	4.76563714691e-06	1.59083163237e-07	4.53100658103e-13	1.19061075092e-05	1.73994476667e-260	0.0	0.0	9.29178379304e-06	0.0	2.50872305942e-08	3.47072230827e-13	3.34715938421e-12	3.06914764977e-07	6.70753914977e-08	6.96858242643e-06	1.29160099459e-05	3.9363579667e-12	6.78570875595e-08	2.45715434567e-08	5.19752910872e-20	5.69955441678e-16
