sid	009B	012B	020B	026B	028B	035B	061B	068B	069B	072B	078B	087B	093B	100B	103B	108B	109B	126B	128B	142B
group	NORA	NORA	HLT	HLT	NORA	NORA	NORA	NORA	HLT	NORA	NORA	HLT	HLT	HLT	NORA	NORA	NORA	NORA	NORA	NORA
Pathway|Carbohydrate_and_lipid_metabolism|Central_carbohydrate_metabolism|Glycolysis_(Embden-Meyerhof_pathway),_glucose_=>_pyruvate	38142.3831754	33562.3180447	34038.8463897	34118.176633	36642.0130242	31554.4126352	43386.1246516	38229.0628247	27726.0848437	34339.8340757	36475.2965287	33672.627855	34717.2687806	32423.3893734	33539.5510118	33367.5193422	34526.4845462	34464.5013948	36456.8010497	28296.4876347
Pathway|Carbohydrate_and_lipid_metabolism|Central_carbohydrate_metabolism|Glycolysis,_core_module_involving_three-carbon_compounds	39919.9024108	34826.2620185	36581.0461742	36492.0338938	37714.373834	31881.4830276	43079.9299785	41337.531329	27810.2817794	35845.1481415	37434.5526314	34780.7115053	36861.505867	34551.8689599	35098.7153408	34331.2849294	35766.1111889	36269.3396272	39878.5912352	29068.8991582
Pathway|Carbohydrate_and_lipid_metabolism|Central_carbohydrate_metabolism|Gluconeogenesis,_oxaloacetate_=>_fructose-6P	37903.5802798	35899.6818848	34806.3694965	33743.6372086	38662.0025268	32401.2220356	45521.7571757	46350.5085388	27381.9097546	34446.3349465	37557.9747725	33041.0916075	39359.1657424	32496.4571331	35227.8613703	34388.9347263	36477.2078688	38916.7489009	40113.364902	28032.3253267
Pathway|Carbohydrate_and_lipid_metabolism|Central_carbohydrate_metabolism|Pentose_phosphate_pathway_(Pentose_phosphate_cycle)	3367.86043207	13856.5450419	14658.0976128	14634.3563829	6155.42817894	12988.628555	4832.68374247	3147.29593304	19970.7063917	6560.39156777	10952.9527152	6733.81196158	10394.1980019	15607.1235844	10168.4290033	6865.90126964	8352.56007924	374.695788461	3260.7913164	17992.1617334
Pathway|Carbohydrate_and_lipid_metabolism|Central_carbohydrate_metabolism|Pentose_phosphate_pathway,_oxidative_phase,_glucose_6P_=>_ribulose_5P	1809.64895018	9496.29062827	10264.021992	10211.5356211	3548.39068129	8755.33961282	2797.26677761	1762.69114913	16096.2112064	3876.16951817	7007.87980649	3926.88658871	6676.6825537	10856.847448	6358.41372035	4052.200482	5146.60746754	184.306271729	1798.46436096	15386.4949832
Pathway|Carbohydrate_and_lipid_metabolism|Central_carbohydrate_metabolism|Pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6P_=>_ribose_5P	24239.2080095	25620.1033879	25630.7343785	25815.6179964	23202.6240193	25147.8504748	17744.0559194	14673.1307847	26301.7654366	21334.1531339	25060.9910182	23610.5639272	23452.1262192	27747.8393698	25370.8672623	22464.2836495	22150.9496902	21180.9624052	17446.4872831	21660.2790681
Pathway|Carbohydrate_and_lipid_metabolism|Central_carbohydrate_metabolism|Entner-Doudoroff_pathway,_glucose-6P_=>_glyceraldehyde-3P_+_pyruvate	1388.21521014	8123.72068791	6703.52089149	7121.60062989	3896.93509105	6820.09181817	1595.33404179	1884.52429442	9478.78879533	3316.6289158	4995.1568464	3231.41189021	3609.95253598	8774.54632366	5327.85426838	3487.19095023	4268.1241023	153.0683378	1767.59289943	9233.5494421
Pathway|Carbohydrate_and_lipid_metabolism|Central_carbohydrate_metabolism|Citrate_cycle_(TCA_cycle,_Krebs_cycle)	4.84465780658	292.237807537	2254.83028318	1857.08531728	228.679404512	96.2053001346	73.1111071287	31.4012220928	1323.12207214	2208.16064181	1122.43851775	0.470658512266	740.753400649	654.574832207	844.47278905	5232.307791	218.719807479	788.510405452	2047.54787629	1838.49126992
Pathway|Carbohydrate_and_lipid_metabolism|Central_carbohydrate_metabolism|Citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate	34487.0558839	33955.4701763	29316.3079754	24743.9203184	33035.5777275	28223.9544036	39482.5715117	34097.4640084	24862.8688281	25563.5500825	32174.2224981	22673.1875446	32021.1224232	26867.3579795	26300.9661533	30236.0835565	30055.4966685	29573.968026	25540.8142329	24872.5640533
