sid	orfs_present	percent_pcopri	read_count
Sample_041B_F	2069	33.72831	43309709
Sample_030B_1	7729	61.54294	21225847
Sample_037B_FE	514	64.98652	525777
Sample_028B_FE	7769	42.03717	21330525
Sample_109B_FE	12118	34.89435	63799939
Sample_142B_FE	7542	31.93862	155323541
Sample_012B_FE	87	0.07705	106069156
SRS013687	10171	34.41828	118239204
SRS011586	1601	0.33045	126027880
Sample_004B_FE	51	0.07739	34788481
Sample_061B_FE	8868	76.89394	53368347
Sample_089B_2	11241	69.79506	12284253
Sample_056B_FE	8768	40.57744	18419788
Sample_103B_FE	6339	8.21672	50692337
SRS022609	7923	32.32925	122234158
Sample_053B	8910	42.67384	48994974
Sample_093B_FE	8417	43.33861	58081209
Sample_104B_FE	47	1.31674	2619019
SRS013521	8792	42.37357	115013916
Sample_009B_FE	5545	4.92265	48160461
Sample_144B_FE	8173	25.74016	68053820
SRS019910	5713	4.61683	68306917
SRS050752	7772	27.2208	104180160
SRS023914	8963	21.13228	124938155
Sample_019B_FE	10568	61.69353	18434488
SRS011271	9661	54.27091	132460058
SRS011134	6556	12.1047	124345431
Sample_027B_FE	1470	3.14791	42932398
Sample_016B_F	2364	38.01315	40192399
SRS023526	8988	37.05205	111858301
SRS078176	8953	51.03459	105629277
SRS053398	9123	28.392	105657662
Sample_040B_F	8755	37.93754	40648665
Sample_108B_FE	11045	33.54896	59725359
Sample_178B_FE	9369	34.39217	64075166
Sample_128B_FE	10482	31.67719	90734299
SRS024132	4960	2.56917	109866478
SRS015782	6603	7.3914	106738994
Sample_170B_FE	1659	11.74106	68783324
SRS015794	9240	18.23524	118863364
Sample_082B_FE	2164	15.99044	6660155
Sample_186B_FE	1787	17.94473	71394171
SRS045713	9239	10.79936	114972505
Sample_150B_FE	55	0.09168	66502785
SRS049959	7681	8.58817	113707191
Sample_126B_FE	13064	55.2272	76812082
Sample_107B	12402	54.93107	49355267
SRS019582	7297	10.12525	85374050
SRS017307	9753	62.45483	126675555
SRS049712	9293	68.97367	124809913
SRS047044	9334	69.10421	92764420
Sample_052B_FE	6652	31.86292	10866496
Sample_034B_FE	4165	53.0569	3958351
Sample_088B_FE	3306	16.03485	8620517
Sample_067B_FE	7001	49.1661	11704917
Sample_068B_FE	10458	53.04309	22442664
Sample_005B_FE	176	3.31004	8355025
SRS049995	7665	10.80311	124069684
Sample_072B_FE	11836	57.40319	172749116
Sample_169B_FE	3384	2.34672	60513831
Sample_078B_FE	7452	41.97911	64962778
Sample_049B_F	436	38.92637	903955
SRS011529	9174	43.31796	132566003
Sample_100B_FE	54	0.06851	93039825
Sample_031B_FE	4316	11.85682	11096724
