ID	HLT_pres	HLT_abs	NORA_pres	NORA_abs	effect_size	pvalue	fdr
gene_id_62569	0	16	9	9	-0.64	0.00114506314205	0.235954573708678
gene_id_68986	1	15	12	6	-0.637362637363	0.000365213287784	0.235954573708678
gene_id_29407	1	15	11	7	-0.598484848485	0.00110912285793	0.235954573708678
gene_id_29546	8	8	18	0	-0.692307692308	0.000708848611747	0.235954573708678
gene_id_55079	0	16	9	9	-0.64	0.00114506314205	0.235954573708678
gene_id_45366	1	15	11	7	-0.598484848485	0.00110912285793	0.235954573708678
gene_id_3694	15	1	7	11	0.598484848485	0.00110912285793	0.235954573708678
gene_id_3690	15	1	6	12	0.637362637363	0.000365213287784	0.235954573708678
gene_id_81143	1	15	11	7	-0.598484848485	0.00110912285793	0.235954573708678
gene_id_83051	0	16	9	9	-0.64	0.00114506314205	0.235954573708678
gene_id_90049	6	10	17	1	-0.648221343874	0.000630329996292	0.235954573708678
gene_id_79069	0	16	9	9	-0.64	0.00114506314205	0.235954573708678
gene_id_54057	1	15	12	6	-0.637362637363	0.000365213287784	0.235954573708678
gene_id_45456	2	14	13	5	-0.60350877193	0.00062813168196	0.235954573708678
gene_id_62568	0	16	11	7	-0.695652173913	0.000126502213789	0.235954573708678
gene_id_45134	1	15	11	7	-0.598484848485	0.00110912285793	0.235954573708678
gene_id_17194	4	12	15	3	-0.589473684211	0.00142831809902	0.247850777498365
gene_id_68779	4	12	15	3	-0.589473684211	0.00142831809902	0.247850777498365
gene_id_59356	4	12	15	3	-0.589473684211	0.00142831809902	0.247850777498365
