id	length
71.95	1059
90.48	84
95.00	300
98.67	300
98.28	290
99.00	300
99.33	300
94.98	299
97.00	300
98.65	297
92.83	293
92.63	95
96.86	159
92.39	92
91.00	300
98.33	300
97.99	299
99.00	299
81.82	286
94.77	306
82.95	305
96.48	199
98.17	109
99.33	298
86.60	209
96.00	300
93.89	131
99.00	300
93.17	322
89.97	289
87.92	298
95.67	300
99.18	122
100.00	114
87.33	300
97.12	208
99.00	300
94.97	179
93.24	296
93.59	281
97.67	300
100.00	93
93.63	204
78.86	246
87.50	296
99.00	300
99.66	295
84.33	300
94.85	291
98.00	300
98.00	300
100.00	181
98.11	106
79.45	219
97.18	142
97.58	124
91.33	300
95.33	300
99.66	297
88.20	178
92.13	127
93.06	72
98.67	300
99.00	300
97.33	300
96.43	56
98.00	300
98.01	301
100.00	291
96.68	301
96.68	301
97.97	295
97.36	227
98.39	62
75.85	207
74.96	2835
75.90	747
74.11	645
80.73	275
96.20	79
74.80	976
72.31	744
98.68	76
98.67	75
86.67	75
91.23	57
84.72	72
70.02	1054
92.31	91
96.00	75
96.00	75
95.95	74
70.49	881
70.02	1054
76.17	1066
84.26	413
84.96	133
96.15	78
82.01	139
76.52	788
82.08	106
100.00	65
100.00	65
100.00	65
76.57	508
88.31	77
85.00	80
86.02	93
80.89	157
90.48	84
74.91	1064
71.60	1345
76.38	436
72.40	761
88.52	61
88.89	72
85.71	77
89.09	55
88.89	54
75.32	462
78.04	337
89.53	86
74.79	714
84.15	164
100.00	74
77.31	1225
72.41	435
85.88	85
74.09	1378
77.68	112
77.60	308
87.84	148
96.05	76
76.15	239
86.02	93
96.30	54
75.35	2268
75.08	1958
76.09	1104
72.76	1171
72.37	1408
89.81	157
100.00	78
97.47	1027
77.48	604
83.33	84
70.82	1967
73.22	605
86.25	80
95.74	47
81.97	987
76.32	1001
97.93	8772
97.50	4564
97.30	3408
97.67	2537
97.45	510
97.22	36
100.00	31
81.50	2184
90.79	76
89.16	83
90.28	72
86.90	84
86.84	76
90.48	63
85.53	76
83.72	86
97.67	43
95.45	44
100.00	30
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
77.99	159
71.30	770
93.62	47
92.00	75
81.65	1695
91.06	492
78.50	921
82.13	621
84.90	1225
81.58	1406
82.82	1077
78.61	1225
79.61	309
92.25	129
92.73	55
92.73	55
73.87	620
82.10	257
86.55	119
93.62	47
93.62	47
86.15	65
72.90	620
92.18	294
79.11	2255
88.53	401
88.16	245
92.31	65
74.47	376
93.22	59
76.01	796
83.38	361
77.76	1016
77.44	297
71.85	1396
83.51	188
76.59	299
92.75	69
79.17	1032
75.37	1210
97.41	4639
95.84	2739
94.14	2644
97.44	1760
97.17	672
88.89	360
85.79	359
87.50	72
88.41	233
71.08	899
98.23	20992
98.49	2643
92.24	361
98.80	250
97.20	250
95.40	87
96.67	60
95.08	61
91.80	61
94.00	50
97.44	39
95.12	41
94.87	39
94.87	39
94.87	39
97.14	35
97.06	34
88.92	361
97.56	41
97.14	35
98.69	153
93.44	61
92.45	53
94.00	50
97.30	37
94.87	39
97.14	35
97.14	35
96.33	109
95.65	92
95.12	41
95.12	41
97.14	35
97.14	35
